GTCBSA,ALL_fpll,SOCIAL_fpll,CARE_fpll,K1_deaths,K2_deaths,K3_deaths,K1_cases,K2_cases,K3_cases,LOG_POP,%_REPUBLICAN,%_DEMOCRAT,%_OTHER_VOTES,%_GREEN,%_LIBERTARIAN,Perc.Native,workplace_close_H,stay_at_home_H,school_closing_H,cancel_events_H,close_transit_H,movement_restriction_H
10100,0,0,0,0,0,0.071113085,0.204861417,0.02766808,0.021953481,4.63168723,0.620417776,0.356082326,0,0,0.023499898,0,0.971428571,0.971428571,0.608163265,0,0,1
10140,0,0,0,0,0.123776282,0.037183874,0.214706878,0.043326399,0,4.862006084,0.51707812,0.451445072,0.006399417,0.005202778,0.019874613,67.5,0.314285714,0.126530612,0.204081633,0.2,0,0.795918367
10180,0.231018773,0.212376546,0.048661351,0.06706908,0.01481837,0,0.414097129,0.020414218,0.130096168,5.232154644,0.745459044,0.23754148,0.00033475,0.002678,0.013986726,72,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
10220,0,0,0,0.099021026,0.057923587,0.054146592,0.171521757,0.046908845,0.002207429,4.583821987,0.705287206,0.268733681,0.008942559,0,0.017036554,0,0.930612245,0.285714286,0.028571429,0,0,0.359183673
10300,0,0,0,0.123776282,0.073980426,0.06312807,0.257474551,0.020088193,0.029261837,4.992911233,0.590932084,0.391906323,0.002004684,0.002229508,0.0129274,77.3,0.657142857,0.987755102,0.636734694,0.371428571,0,1
10380,0,0,0,0,0,0,0.020020522,0.040468984,0.02901504,5.478720852,0,0,0,0,0,93.8,0,0,0,0,0,0
10420,0.248605288,0.227050504,0.015762753,0.318745071,0.005595796,0.021769312,0.290282688,0,0.030300125,5.84747703,0.47013995,0.515567849,0.003533831,0,0.01075837,80.5,1,1,0.440816327,1,0,1
10460,0,0,0,0.100944599,0,0.027880634,0.127220706,0.062407681,0.039089776,4.820444491,0.616053625,0.359976242,0.002969751,0.004581901,0.01641848,39.1,0.816326531,1,0.657142857,1,0,0.510204082
10500,0,0,0,0.27691187,0,0.008448984,0.392078362,0.009484395,0.01019815,5.171539243,0.478470891,0.513636837,0,0,0.007892273,77.8,1,0,0.297959184,1,0,1
10540,0,0,0,0.063461478,0.007652435,0.033778963,0.235254093,0,0.028495705,5.09707675,0.598650881,0.364977974,0.008879405,0.005547907,0.021943833,58.5,0.32244898,0.836734694,0.126530612,0.836734694,0,0.134693878
10580,0.189252689,0.157915494,0.032236057,0.276988591,0,0.017234185,0.418237763,0,0.024763683,5.944845748,0.412527534,0.558780766,0.012210623,0.004551232,0.011929844,81.7,0.555102041,0.902040816,0.502040816,0.591836735,1,1
10620,0,0,0,0.109587474,0.101436757,0.01470664,0.132809785,0.067547175,0,4.789496101,0.750110492,0.239517959,0.00279914,0.000942868,0.006629541,0,1,1,1,1,1,0.942857143
10660,0,0,0,0,0.015581434,0,0.255768043,0.012929837,0.040326424,4.48377267,0.56950886,0.409620645,0.009156856,0.003032465,0.008681175,0,1,1,0.044897959,1,0.171428571,1
10700,0,0,0,0.100821408,0.019019974,0.016564414,0.325406892,0.032939426,0.018397614,4.98065319,0.836994074,0.149867608,0.013138318,0,0,75.5,0.873469388,0.795918367,0,0.081632653,0,1
10740,0.223658888,0.168799024,0.052871409,0.355781849,0,0.022710544,0.414961739,0.026166427,0.046130893,5.960046265,0.39760439,0.578617048,0.003822831,0.004906504,0.015049226,61.1,0.816326531,1,0.657142857,1,0,0.510204082
10780,0,0,0,0.12222385,0.022062846,0.01005218,0.410127364,0.028548217,0.021440416,5.185570484,0.680721391,0.302269364,0.005699049,0,0.011310195,84.1,1,1,0.383673469,1,0,1
10820,0,0,0,0,0,0.076657889,0.321897436,0.039213232,0.052392154,4.574181797,0.653796814,0.325594869,0.008441962,0.002317401,0.009848955,0,1,1,0.044897959,1,0.171428571,1
10860,0,0,0,0,0.122994532,0.024828407,0.099021026,0.176138376,0.012951824,4.718003168,0.545248372,0.447655278,0,0.002048431,0.005047919,0,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
10900,0.195678751,0.143984264,0.050736448,0.228406024,0.0083013,0.012155292,0.317187824,0.004696398,0.025657924,5.923041854,0.499623393,0.487674167,0.000442152,0.000584352,0.011675936,66.8,0.87519797,0.894999772,0.187374992,0.26901668,0.039721248,0.900158376
10940,0,0,0,0.061149586,0.003647968,0.025475652,0.155261681,0,0.039189711,4.61189317,0.632718147,0.349924191,0.002248131,0.002561824,0.012547707,0,0.657142857,0.987755102,0.636734694,0.371428571,0,1
10980,0,0,0,0.126790599,0,0.019053609,0.247552564,0.012307807,0.063607368,4.455149521,0.629736578,0.353585951,0.002062585,0.001650068,0.012964818,0,0.657142857,0.987755102,0.636734694,0.371428571,0,1
11020,0,0,0,0,0.071431914,0.045908322,0.23104906,0,0.035848874,5.090459101,0.712414498,0.277317399,0,0,0.010268103,86.5,0.857142857,0.885714286,0.175510204,0.163265306,0,0.885714286
11060,0,0,0,0.01332519,0,0,0.23104906,0.074395849,0.016047287,4.399033054,0.777520983,0.200218951,0.005595426,0,0.016664639,0,0.930612245,0.285714286,0.028571429,0,0,0.359183673
11100,0.266580046,0.208768971,0.050612335,0.089492283,0,0.013376363,0.27041367,0,0.017398576,5.421235278,0.758779321,0.224456195,0.000571406,0.002508377,0.0136847,73.3,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
11140,0,0,0,0.217349914,0.013746325,0.013727637,0.286563268,0.00556106,0.02883758,4.547590122,0.522149047,0.470017331,0,0,0.007833622,0,1,0,0.297959184,1,0,1
11180,0,0,0,0,0.035852239,0.008051928,0.130212533,0.084250852,0.022119505,5.09100182,0.40246483,0.571632901,0.004917904,0.002880207,0.018104158,70.8,0.840816327,1,0.191836735,0.273469388,0,1
11220,0,0,0,0,0,0.055865958,0.171425509,0,0.031815607,4.692864537,0.599877624,0.37545891,0.009178198,0.004094888,0.011390379,0,0.555102041,0.902040816,0.502040816,0.591836735,1,1
